operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.516777,-99.160149",1200000,MXN,1189144.46,63223.78,88,88,718.4520455,13636.36364,,,,http://gustavo-a-madero.properati.com.mx/r644_venta_departamento_gustavo-a-madero_arsa-esmeralda
sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.466724,-99.131614",480000,MXN,475657.74,25289.51,,48,,10000,,,,http://vallejo.properati.com.mx/mz4c_venta_departamento_vallejo_tetrazzini_232_susana-zamora
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.33228,-99.243934",4559261,MXN,4518016.68,240211.43,,126,,36184.61111,,,,http://alvaro-obregon.properati.com.mx/jh8j_venta_departamento_alvaro-obregon_av-de-las-torres_1
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.1105772788,-86.8537859927",3808088,MXN,3774533.79,200682.34,0,171,,22269.52047,,,,http://cancun.properati.com.mx/qus8_venta_departamento_cancun_jpm-realestate
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.39365,-99.14769",1730000,MXN,1714349.82,91147.61,,100,,17300,,,,http://benito-juarez.properati.com.mx/q5my_venta_departamento_benito-juarez_antonio-pedro
sell,apartment,|Cancún|Benito Juárez|Quintana Roo|México|,"21.0498059839,-86.8535878365",3906000,MXN,3870665.16,205793.4,126,178,1633.280952,21943.82022,,,,http://lagos-del-sol.properati.com.mx/lmmz_venta_departamento_lagos-del-sol_jpm-realestate
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.420166,-99.220367",430000,USD,8087655,430000,136,136,3161.764706,3161.764706,,,,http://miguel-hidalgo-df.properati.com.mx/bav0_venta_departamento_miguel-hidalgo
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.420356,-99.143597",1792666,MXN,1776870.21,94471.66,,1200,,1493.888333,,,,http://cuauhtemoc.properati.com.mx/rccj_venta_departamento_cuauhtemoc_dr-navarro_0_alberto-carrillo-mendez
sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.509133,-99.142907",3750000,MXN,3716076.4,197574.31,,250,,15000,,,,http://torres-lindavista.properati.com.mx/pw1o_venta_casa_torres-lindavista_caracas_0_lic-joaquin-osvaldo-ugalde-hdez
sell,house,|Iztacalco|Distrito Federal|México|,"19.382139,-99.127632",2578909,MXN,2556185.36,135905.86,,205,,12580.0439,,,,http://militar-marte.properati.com.mx/rbx1_venta_casa_militar-marte_playa-roqueta_0_luis-munoz_elj
sell,house,|Coyoacán|Distrito Federal|México|,"19.3448820869,-99.1282439232",1890000,MXN,1873346.53,99601.06,164,193,607.3235366,9792.746114,,,,http://coyoacan.properati.com.mx/qtgj_venta_casa_coyoacan_numecsa-sa-de-cv
sell,house,|Tlalpan|Distrito Federal|México|,"19.2929574924,-99.1691724211",26000000,MXN,25770906.95,1370173.43,1400,1500,978.6953071,17333.33333,,,,http://tlalpan.properati.com.mx/pmpt_venta_casa_tlalpan_villela-y-asociados
sell,house,|Benito Juárez|Distrito Federal|México|,"19.383515,-99.127418",7250000,MXN,7186118.26,382067.59,,340,,21323.52941,,,,http://benito-juarez.properati.com.mx/r15j_venta_casa_benito-juarez_playa-manzanillo_400_rosy-trejo
sell,house,|Benito Juárez|Quintana Roo|México|,"21.082655,-86.857162",17000000,MXN,16846213.33,895670.22,762,601,1175.420236,28286.18968,,,,http://cancun.properati.com.mx/r665_venta_casa_cancun_caribbean-realtors
